step,body_id,x,y,z
100,3,-1.12803e+11,-9.88715e+10,186.877
100,4,1.4997e+11,3.01276e+09,13.2523
100,5,1.53324e+11,7.68963e+09,-3.98753e+07
100,6,1.48672e+11,5.28742e+09,-6.05623e+06
100,7,1.50914e+11,4.81485e+09,-4.31158e+06
100,8,1.47465e+11,2.01457e+09,1.0933e+07
100,9,1.48457e+11,1.14949e+09,9.24208e+06
100,10,1.51101e+11,1.33889e+09,-7.82962e+06
100,11,1.52575e+11,1.79768e+09,-2.16152e+07
100,12,1.49312e+11,-2.91662e+09,2.65549e+07
100,13,1.55515e+11,5.86847e+09,2.81177e+07
100,14,1.52022e+11,6.25067e+09,7.63977e+07
100,15,1.48881e+11,-3.69576e+08,-6.05772e+07
100,16,1.50004e+11,-1.48985e+08,-9.11233e+06
100,17,1.51867e+11,5.54291e+09,-4.13577e+06
100,18,1.50517e+11,8.8224e+09,-6.1203e+07
100,19,1.51805e+11,4.61183e+08,-1.17332e+07
100,20,1.51318e+11,1.36757e+08,-2.84206e+07
100,21,1.51855e+11,2.13563e+09,1.09291e+07
100,22,1.49638e+11,9.82442e+08,-1.08199e+06
100,23,1.50288e+11,7.23011e+09,-4.62736e+07
100,24,1.46717e+11,7.75338e+09,1.21091e+08
100,25,1.5216e+11,4.33037e+09,1.12902e+07
100,26,1.5299e+11,2.10516e+09,2.32796e+07
100,27,1.47113e+11,2.63563e+09,2.78574e+07
100,28,1.49715e+11,2.17455e+08,1.10655e+07
100,29,1.48426e+11,6.45591e+09,-3.28487e+06
100,30,1.46549e+11,-8.37522e+06,5.38557e+06
100,31,1.47808e+11,4.07828e+09,-2.61521e+07
100,32,1.55223e+11,3.37131e+09,-4.09805e+07
100,33,1.48442e+11,5.79958e+09,-5.78188e+06
100,34,1.46913e+11,3.22881e+09,5.23398e+06
100,35,1.47893e+11,4.9253e+09,1.36563e+07
100,36,1.51033e+11,6.4305e+09,4.89914e+07
100,37,1.47965e+11,2.22251e+09,-9.93762e+06
100,38,1.50549e+11,5.0349e+08,-226746
100,39,1.45667e+11,6.13881e+09,2.92372e+07
100,40,1.53253e+11,4.71977e+08,5.66694e+07
100,41,1.52575e+11,3.20242e+09,1.11386e+07
100,42,1.53794e+11,1.35842e+09,-2.5814e+07
100,43,1.49701e+11,-2.94545e+09,-6.62361e+07
100,44,1.49688e+11,-1.75439e+09,4.4677e+07
100,45,1.48962e+11,-7.64877e+08,4.96498e+07
100,46,1.5106e+11,5.68158e+08,-1.46702e+07
100,47,1.52899e+11,6.23879e+09,-1.07709e+06
100,48,1.47768e+11,3.05164e+09,-8.56378e+06
100,49,1.511e+11,6.48624e+09,2.26133e+06
100,50,1.47945e+11,6.00631e+09,-8.73037e+06
100,51,1.44163e+11,9.2634e+07,1.83205e+07
100,52,1.48737e+11,5.30007e+09,4.47524e+06
100,53,1.5331e+11,-2.51125e+09,3.60607e+07
100,54,1.45036e+11,-7.53371e+08,5.28623e+07
100,55,1.49551e+11,-8.00266e+08,6.8595e+06
100,56,1.52379e+11,4.61552e+09,-2.05418e+06
100,57,1.53069e+11,5.93775e+08,927200
100,58,1.50977e+11,6.12789e+08,-1.58003e+07
100,59,1.49559e+11,-7.21165e+08,1.65853e+07
100,60,1.53327e+11,1.633e+09,4.86234e+07
100,61,1.43947e+11,3.8334e+09,3.04215e+07
100,62,1.46953e+11,4.04024e+09,-1.67739e+06
100,63,1.46309e+11,4.58261e+09,2.22483e+06
100,64,1.51249e+11,9.05365e+08,-2.2249e+07
100,65,1.51686e+11,1.25781e+09,1.86356e+07
100,66,1.5159e+11,8.85199e+09,4.56238e+07
100,67,1.49057e+11,-4.63735e+08,-1.84886e+07
100,68,1.47339e+11,2.48551e+09,4.06002e+07
100,69,1.46798e+11,2.17175e+09,-2.78509e+07
100,70,1.52512e+11,3.08081e+09,-7.17434e+06
100,71,1.51056e+11,9.47076e+08,-306173
100,72,1.48192e+11,3.88723e+09,-5.82964e+06
100,73,1.47297e+11,-7.95643e+08,-5.03423e+07
100,74,1.46666e+11,8.80253e+09,5.40449e+07
100,75,1.52672e+11,2.47068e+09,234513
100,76,1.49904e+11,6.3116e+09,-2.76773e+07
100,77,1.54359e+11,6.84549e+09,1.50751e+07
100,78,1.46345e+11,4.2797e+09,5.38192e+07
100,79,1.4687e+11,-1.90787e+09,-1.32235e+07
100,80,1.50678e+11,6.69577e+08,-3.45393e+06
100,81,1.51964e+11,-1.86029e+09,-6.78108e+07
100,82,1.50065e+11,5.59936e+09,-1.01065e+07
100,83,1.50308e+11,8.10926e+09,-5.62357e+07
100,84,1.51877e+11,3.03347e+09,-8.23276e+06
100,85,1.49684e+11,1.0072e+09,9.1863e+06
100,86,1.48401e+11,4.3375e+09,1.83599e+07
100,87,1.491e+11,1.16213e+09,9.87365e+06
100,88,1.4754e+11,4.49974e+09,-2.25934e+07
100,89,1.46696e+11,-1.70196e+08,1.39182e+07
100,90,1.52645e+11,2.7929e+09,835243
